fifth_place_age,fifth_place_boat,fifth_place_height,fifth_place_lane,fifth_place_motor,fifth_place_name,fifth_place_rank,fifth_place_weight,first_place_age,first_place_boat,first_place_height,first_place_lane,first_place_motor,first_place_name,first_place_rank,first_place_weight,fourth_place_age,fourth_place_boat,fourth_place_height,fourth_place_lane,fourth_place_motor,fourth_place_name,fourth_place_rank,fourth_place_weight,link,race_name,race_place,race_title,second_place_age,second_place_boat,second_place_height,second_place_lane,second_place_motor,second_place_name,second_place_rank,second_place_weight,sixth_place_age,sixth_place_boat,sixth_place_height,sixth_place_lane,sixth_place_motor,sixth_place_name,sixth_place_rank,sixth_place_weight,third_place_age,third_place_boat,third_place_height,third_place_lane,third_place_motor,third_place_name,third_place_rank,third_place_weight
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-4.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-7.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-1.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-2.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(25),34,168,5,68,山口広樹,B2,54,(42),59,155,1,57,小野勇作,A1,50,(60),64,167,3,66,三宅爾士,B1,56,https://race.kyotei.club/info/info-20201212-17-1.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(33),26,167,2,22,齋藤真之,B1,53,(60),46,162,6,27,大原祥昌,B2,51,(35),58,163,4,44,南野利騰,B1,51
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-11.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-5.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-6.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(42),62,165,5,45,松江秀徳,A2,53,(38),42,166,1,23,浮田圭浩,B1,55,(46),35,162,3,37,清水攻二,A2,53,https://race.kyotei.club/info/info-20201212-17-3.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(35),28,169,2,46,大野芳顕,A1,52,(46),21,165,6,14,金田大輔,B1,52,(38),65,169,4,48,岡本大,B1,56
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-8.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(37),63,169,4,33,新出浩司,A2,53,(47),47,163,1,25,佐々木英樹,A2,53,(40),24,167,3,47,待鳥雄紀,A2,57,https://race.kyotei.club/info/info-20201212-17-4.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(26),22,165,2,63,松本一毅,B1,52,(40),55,161,5,15,田中浩之,B1,52,(37),57,167,6,13,渡辺浩司,A1,52
(41),30,167,5,56,北中元樹,A2,59,(32),31,172,2,26,永井亮次,B1,54,(46),41,170,6,43,荒井輝年,A1,56,https://race.kyotei.club/info/info-20201212-17-5.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(32),39,163,1,19,森永隆,A1,51,(46),26,167,4,22,齋藤真之,B1,53,(31),53,172,3,39,小池哲也,A2,55
